Fichier réalisé le 15/02/2021 avec les données du site :;Equipes;ΣPoids moyen;Points;;Points;ΣPoids moyen;;;;;;;;;;;;;Toulon (RCT);;;;;;;;;;;;;;;;;;;Journée;DeltaPoids;DeltaAge;Score
https://www.allrugby.com/;Toulouse;950,8666667;57;;57;950,8666667;;;;;;;;;;;;;Match;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;1;31;0;0
Données sur l'age ajoutés le 05/04/2021.;La Rochelle;910,7333333;54;;54;910,7333333;;;;;;;;;;;;;DeltaPoids;31;15;22;16;38;38;44;38;49;8;-18;49;-29;-2;70;;;;2;15;2;1
;Racing 92;893,5;54;;54;893,5;;;;;;;;;;;;;DeltaAge;0;2;-2;-1;-1;3;0;3;-1;0;0;1;-2;-1;-2;;;;3;22;-2;0
Les données de poids et d'ages sont associés au packs des équipes.;Bordeaux;936,75;48;;48;936,75;;;;;;;;;;;;;Score;0;1;0;1;1;1;0;1;1;1;0;1;0;0;0;;;;4;16;-1;1
Victoire : +1;Clermont;912,3333333;45;;45;912,3333333;;;;;;;;;;;;;Score cumulé;0;1;1;2;3;4;4;5;6;7;7;8;8;8;8;;;;5;38;-1;1
Égalité : +1/2;Toulon;937,1333333;43;;43;937,1333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;38;3;1
Défaite : +0;Lyon;904,25;39;;39;904,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;44;0;0
;Paris;921,9375;39;;39;921,9375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;38;3;1
;Castres;915,1875;38;;38;915,1875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;49;-1;1
;Brive;910,75;35;;35;910,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;8;0;1
;Pau;914,25;30;;30;914,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;-18;0;0
;Monpellier;931,25;27;;27;931,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;49;1;1
;Bayonne;919,5;26;;26;919,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;-29;-2;0
;Agen;901;2;;2;901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;-2;-1;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;70;-2;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Equipes/Poids;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;;;;;;;;;;;;;;;;;;;;;;;;
;Toulouse;930;943;929;963;963;942;961;984;963;942;941;935;959;949;;959;;;;;;;;;;;;;;;;;;;;;;;;
;La Rochelle;938;926;916;940;934;925;906;925;904;904;877;922;904;874;;866;;;;;;;;;;;;;;;;;;;;;;;;
;Racing 92;877;908;918;910;903;929;897;800;913;885;878;910;912;882;892;882;;;;;;;;;;;;;;;;;;;;;;;;
;Bordeaux;940;926;937;933;940;938;932;933;935;937;946;950;932;928;947;934;;;;;;;;;;;;;;;;;;;;;;;;
;Clermont;908;912;908;915;912;907;927;911;933;919;923;882;895;909;924;;;;;;;;;;;;;;;;;;;;;;;;;
;Toulon;969;938;951;922;941;958;965;952;938;920;920;931;903;;913;936;;;;;;;;;;;;;;;;;;;;;;;;
;Lyon;920;923;910;920;920;901;893;902;908;891;902;925;888;879;895;891;;;;;;;;;;;;;;;;;;;;;;;;
;Paris;932;921;902;900;901;917;944;931;932;937;938;915;917;926;910;928;;;;;;;;;;;;;;;;;;;;;;;;
;Castres;915;904;912;911;916;920;911;915;926;922;918;923;906;910;915;919;;;;;;;;;;;;;;;;;;;;;;;;
;Brive;915;917;912;922;944;865;909;914;916;917;935;897;886;907;915;901;;;;;;;;;;;;;;;;;;;;;;;;
;Pau;912;897;931;930;910;926;932;917;911;912;910;902;900;901;920;917;;;;;;;;;;;;;;;;;;;;;;;;
;Monpellier;923;928;938;906;906;930;929;931;922;926;948;967;951;924;949;922;;;;;;;;;;;;;;;;;;;;;;;;
;Bayonne;929;931;929;915;912;928;921;914;923;898;933;930;912;;;898;;;;;;;;;;;;;;;;;;;;;;;;
;Agen;915;931;903;895;895;945;894;907;889;897;887;882;878;896;;;;;;;;;;;;;;;;;;;;;;;;;;
